name,playable,status,for_sale,expansion,price,price_text,rating,bgg_link,players,age,time,category,play_style,blurb,pick_by,pick_note,rec_list,rec_note,notes,rules_link
Carcassonne,yes,,yes,,~$60,2-5,7+,45 mins,"Family, Tile Placement",competitive,7.4,https://boardgamegeek.com/boardgame/822,Dorfromantik's competitive ancestor,,,,,,,
Cards Against Humanity,yes,,,,,4-20+,17+,30-90 mins,"Party, Adult",competitive,5.7,https://boardgamegeek.com/boardgame/50381,Apples to Apples gone feral,,,,,,,
Carnegie,yes,,,,,1-4,12+,90-120 mins,"Strategy, Economic",competitive,8,https://boardgamegeek.com/boardgame/310873,Brass Birmingham's American industrialist rival,,,,,,,
Cascadero,yes,,,,,2-4,8+,45 mins,"Strategy, Family",competitive,7.3,https://boardgamegeek.com/boardgame/401216,Knizia's galloping cousin of Through the Desert,,,,,,,
Cascadia,no,,yes,,~$65,1-4,10+,30-45 mins,"Family, Tile Placement",competitive,7.9,https://boardgamegeek.com/boardgame/295947/cascadia,Azul-adjacent tile drafting with wildlife,,,,,,,
Cascadito,yes,,,,,2-4,6+,30 mins,"Family, Strategy",competitive,6.5,https://boardgamegeek.com/boardgame/401217,Cascadero's lighter little sibling,,,,,,,
Casting Shadows,yes,,,,,2-4,12+,45-60 mins,"Strategy, Fantasy",competitive,6.3,https://boardgamegeek.com/boardgame/359502,Munchkin-style take-that with shadow monsters,,,,,,,
Castle Combo,yes,,,,,2-5,10+,25 mins,"Family, Card Game",competitive,7.7,https://boardgamegeek.com/boardgame/416851,a 3x3 combo puzzle at Splendor pace,,,,,,,
Cat Crimes,yes,,,,,1+,8+,20 mins,"Puzzle, Deduction",competitive,,,Cluedo compressed into cat logic puzzles,,,,,,,
Catan Settlers of America,yes,,,,,3-4,12+,120 mins,"Strategy, Family",competitive,6.8,https://boardgamegeek.com/boardgame/67239,Catan goes west with trains and wagons,,,,,,,
Catan The Settlers,yes,,,,,3-4,10+,60-120 mins,"Strategy, Family",competitive,7.1,https://boardgamegeek.com/boardgame/13,the trading-and-building gateway classic,,,,,,,
CDMC 3000,yes,,,,,2-3,8+,10-20 mins,"Party, Dexterity",competitive,,https://boardgamegeek.com/boardgame/25695,party dexterity in the Jungle Speed vein,,,,,,,
Chameleon Game,yes,,,,,3-8,14+,15 mins,"Party, Deduction",competitive,6.5,https://boardgamegeek.com/boardgame/227072,Spyfall in reverse. Find the faker,,,,,,,
Champions of Midgard,yes,,,,,2-4,10+,60-90 mins,"Strategy, Worker Placement",competitive,7.7,https://boardgamegeek.com/boardgame/172287,Lords of Waterdeep with dice-battled monsters,,,,,,,
Chess,yes,,,,,2,6+,60 mins,"Abstract Strategy, Classic",competitive,7.2,https://boardgamegeek.com/boardgame/171,the abstract strategy benchmark,,,,,,,
Chucky (Child's Play),yes,,,,,2-5,17+,45-60 mins,"Thematic, Horror",competitive,7,https://boardgamegeek.com/boardgame/405696,slasher-movie horror in the Betrayal spirit,,,,,,,
Citadels,no,,yes,,~$40,2-8,10+,60 mins,"Card Game, Bluffing",competitive,7.1,https://boardgamegeek.com/boardgame/478,Coup and Love Letter energy that seats eight,,,,,,,
Clank,yes,,,,,2-4,13+,30-60 mins,"Deck Building, Adventure",competitive,7.8,https://boardgamegeek.com/boardgame/201808,Dominion goes dungeon-delving with push-your-luck,,,,,,,
Clickbait,yes,,,,,3-8,14+,30-45 mins,"Party, Word",competitive,5.3,https://boardgamegeek.com/boardgame/254417,Balderdash for the internet age,,,,,,,
Clue card game,yes,,,,,3-4,8+,15-30 mins,"Deduction, Family",competitive,5.9,https://boardgamegeek.com/boardgame/88922,Cluedo distilled to cards,,,,,,,
Cluedo Game of Thrones,yes,,,,,2-6,18+,60 mins,"Deduction, Thematic",competitive,6,https://boardgamegeek.com/boardgame/198328,classic Cluedo in Westeros,,,,,,,
Cluedo SFX,yes,,,,,2-4,8+,30 mins,"Deduction, Family",competitive,,https://boardgamegeek.com/boardgame/8069,Cluedo with sound effects and app-era twists,,,,,,,
Codenames,yes,,yes,,~$35,2-8,14+,15 mins,"Party, Word Game",teams,7.5,https://boardgamegeek.com/boardgame/178900,the party-deduction benchmark. Just One is its co-op cousin,,,,,,,
Codenames Pictures,yes,,,,,2-8,10+,15 mins,"Party, Deduction",teams,7.2,https://boardgamegeek.com/boardgame/198773,Codenames with pictures,,,,,,,
Coffee Traders,yes,,,,,2-5,14+,120-180 mins,"Economic, Strategy",competitive,7.7,https://boardgamegeek.com/boardgame/325022,Brass-weight cooperative-competitive coffee farming,,,,,,,
Colour Crazy,yes,,,,,2-6,6+,20 mins,"Family, Card Game",competitive,,https://boardgamegeek.com/boardgame/400870,"Uno at speed, and the colour word never matches the ink",,,,,,,
Concept Kids,yes,,,,,2-12,4+,20 mins,"Cooperative, Family",co-op,7,https://boardgamegeek.com/boardgame/247314,Concept simplified for little players,,,,,,,
Concordia,yes,,yes,,~$95,2-5,12+,90-120 mins,"Strategy, Economic",competitive,8.1,https://boardgamegeek.com/boardgame/124361,"a gentler Brass Birmingham, trade routes without the crunch",,,,,,,
Cosmic Encounter,yes,,yes,,~$95,3-5,14+,60-120 mins,"Science Fiction, Negotiation",competitive,7.5,https://boardgamegeek.com/boardgame/39463,Coup's chaos scaled to a galaxy of shifting alliances,Jehan,The rules are lies,,,,,
Cosmic Encounter 42nd Anniversary Edition,yes,,,,,3-5,12+,60-120 mins,"Strategy, Sci-Fi",competitive,7.5,https://boardgamegeek.com/boardgame/39463,Coup's chaos scaled to a galaxy of shifting alliances,,,,,,,
Coup,yes,,,,,2-6,10+,15 mins,"Card Game, Bluffing",competitive,7,https://boardgamegeek.com/boardgame/131357,Love Letter with lying,,,,,,,
Coup Rebellion,yes,,,,,2-6,10+,15-30 mins,"Card Game, Bluffing",competitive,7,https://boardgamegeek.com/boardgame/148943,Coup with a rotating role menu,,,,,,,
Coup Reformation,yes,,,yes,,2-10,10+,15 mins,"Party, Social Deduction",competitive,,https://boardgamegeek.com/boardgameexpansion/148931,Coup with religious factions to hide behind,,,,,,,
Cranium,yes,,,,,4-16,13+,60 mins,"Party, Family",teams,5.7,https://boardgamegeek.com/boardgame/891,"Pictionary, charades and trivia in one box",,,,,,,
Critter Kitchen,yes,,,,,2-5,10+,45 mins,"Family, Strategy",competitive,7.8,https://boardgamegeek.com/boardgame/393429,"a cute cooking draft, Sushi Go grown into a dinner service",,,,,,,
Cubitos,yes,,,,,2-4,8+,30 mins,"Family, Dice Game",competitive,7.4,https://boardgamegeek.com/boardgame/298069,Quacks of Quedlinburg on a racetrack,,,,,,,
Cubo,yes,,,,,2-4,8+,15 mins,"Family, Dice",competitive,5.6,https://boardgamegeek.com/boardgame/166532,Yahtzee in a 3x3 grid. Reroll everything or nothing,,,,,,,
Dead of Winter,yes,,,,,2-5,14+,60-120 mins,"Cooperative, Thematic",co-op,7.4,https://boardgamegeek.com/boardgame/150376,Betrayal's zombie-colony big sibling with traitors,,,,,,,
Deal with the Devil,yes,,yes,,~$100,3-6,14+,60-90 mins,"Strategy, Hidden Roles",competitive,7,https://boardgamegeek.com/boardgame/367379,Sheriff of Nottingham bluffing fused with a heavy euro,Jehan,Hidden roles inside a heavy euro,,,,,
Dinosaur Island,yes,,,,,1-4,10+,90-120 mins,"Strategy, Economic",competitive,7.5,https://boardgamegeek.com/boardgame/221194,Jurassic Park as a Lords of Waterdeep-style euro,,,,,,,
Diplomacy,no,,yes,,~$70,2-7,12+,360 mins,"Wargame, Negotiation",competitive,6.9,https://boardgamegeek.com/boardgame/483,"Risk without dice, pure negotiation",,,,,,,
Dirty Laundry,yes,,,,,4-10,17+,30 mins,"Party, Humor",competitive,,,Cards Against Humanity pointed at your friends,,,,,,,
Dixit,yes,,yes,,~$55,3-6,8+,30 mins,"Party, Storytelling",competitive,7.2,https://boardgamegeek.com/boardgame/39856,Mysterium's picture-poetry sibling,,,,,,,
Dominion,yes,,,,,2-4,14+,30 mins,"Deck Building, Strategy",competitive,7.6,https://boardgamegeek.com/boardgame/36218,"the original deck-builder, Clank! without the dungeon",,,,,,,
Dominion Intrigue,yes,,,,,2-4,14+,30 mins,"Deck Building, Strategy",competitive,7.7,https://boardgamegeek.com/boardgame/40834,Dominion with sharper elbows,,,,,,,
Dorfromantik,no,,yes,,~$65,1-6,8+,45 mins,"Family, Cooperative",co-op,7.5,https://boardgamegeek.com/boardgame/370591/dorfromantik-the-board-game,"co-op Carcassonne, straight from the video game",Jehan,Cosiest co-op going,,,,,
Dorfromantik - The Duel,yes,,,,,2,8+,30 mins,"Tile Placement, Strategy",competitive,7,https://boardgamegeek.com/boardgame/395364,Dorfromantik head-to-head,,,,,,,
Dos,yes,,,,,2-4,7+,30 mins,"Family, Card Game",competitive,4.8,https://boardgamegeek.com/boardgame/246701,Uno's number-matching sequel,,,,,,,
Dreadful Circus,yes,,,,,2-8,12+,60 mins,"Bidding, Set Collection",competitive,6.5,https://boardgamegeek.com/boardgame/329714,a hidden-value auction in the Sheriff of Nottingham spirit,,,,,,,
Durian Dash,yes,,,,,2-4,8+,20-30 mins,"Family, Strategy",competitive,6,https://boardgamegeek.com/boardgame/340396,family set-scrambling in the Sushi Go vein,,,,,,,
El Grande,yes,,,,,2-5,12+,90 mins,"Strategy, Area Control",competitive,7.8,https://boardgamegeek.com/boardgame/93,the area-majority benchmark Rising Sun descends from,,,,,,,
Eldritch Horror Mountains of Madness,yes,,,yes,,1-8,14+,120-240 mins,"Cooperative, Expansion",co-op,8.2,https://boardgamegeek.com/boardgameexpansion/164167,the Antarctic expansion for Eldritch Horror,,,,,,,
Epic Card Game,yes,,,,,2-4,13+,20 mins,"Card Game, Fantasy",competitive,6.4,https://boardgamegeek.com/boardgame/175621,Magic: The Gathering compressed into one deck,,,,,,,
Everdell,yes,,yes,,~$100,1-4,10+,40-80 mins,"Strategy, Family",competitive,8.0,https://boardgamegeek.com/boardgame/199792,Wingspan crossed with Lords of Waterdeep,Ollie,Table wow factor every time,,,,,
Everdell Duo,no,,yes,,~$52,1-2,10+,25-40 mins,"Strategy, Card Game",competitive,7.8,https://boardgamegeek.com/boardgame/425005,Everdell distilled for two,,,,,,,
Everdell: Silverfrost,no,,yes,,$90 ess / $150+ coll,1-4,10+,30-120 mins,"Strategy, Family",competitive,8.0,https://boardgamegeek.com/boardgame/436821,"Everdell, refined",Jehan,Prettiest engine on the shelf,,,,,
EXIT: The Game (series),no,,yes,,$25–30 ea,1-4,12+,60 mins,"Cooperative, Puzzle",co-op,7.4,https://boardgamegeek.com/boardgamefamily/36963,"an escape room in a box. Components get torn, one play each",Jehan,Escape room night in a box,,,,,
Exploding Kittens,yes,,,,,2-5,7+,15 mins,"Party, Card Game",competitive,6.1,https://boardgamegeek.com/boardgame/172225,Uno crossed with Russian roulette,,,,,,,
Festo,yes,,,,,2-4,10+,45-60 mins,"Family, Strategy",competitive,6.7,https://boardgamegeek.com/boardgame/253679,light family strategy in the Kingdomino weight class,,,,,,,
Fight the Blight,yes,,,,,1-4,12+,60-120 mins,"Cooperative, Strategy",co-op,,https://boardgamegeek.com/boardgame/359959,a co-op in the Pandemic mould,,,,,,,
Fire & Stone,yes,,,,,2-4,10+,45-60 mins,Strategy,competitive,6.1,https://boardgamegeek.com/boardgame/342927,a light civ-builder. Catan meets Stone Age,,,,,,,
Fire Tower,yes,,,,,2-4,12+,15-30 mins,"Strategy, Tactical",competitive,7.1,https://boardgamegeek.com/boardgame/226605,competitive Forbidden Island. Push the fire at each other,,,,,,,
Flip City,yes,,,,,1-4,8+,30 mins,"Deck Building, Strategy",competitive,6.3,https://boardgamegeek.com/boardgame/168679,Dominion micro-sized with push-your-luck,,,,,,,
Fog of Love,yes,,,,,2,17+,90 mins,"Party, Storytelling",competitive,6.6,https://boardgamegeek.com/boardgame/175324,a two-player rom-com. Roleplay meets hidden agendas,,,,,,,
Forbidden Desert,yes,,yes,,~$48,2-5,10+,45 mins,"Cooperative, Adventure",co-op,7.1,https://boardgamegeek.com/boardgame/136063,"Forbidden Island, one step up",,,,,,,
Forbidden Island,yes,,yes,,~$40,2-4,10+,30 mins,"Cooperative, Family",co-op,6.8,https://boardgamegeek.com/boardgame/65244,"Pandemic, junior edition",,,,,,,
Forbidden Jungle,yes,,yes,,~$52,2-4,10+,45 mins,"Cooperative, Adventure",co-op,7.3,https://boardgamegeek.com/boardgame/380226,"Forbidden Desert, another step up",,,,,,,
Forgotten Waters,yes,,,,,3-7,14+,120-240 mins,"Cooperative, Thematic",co-op,7.7,https://boardgamegeek.com/boardgame/302723,"Betrayal-style pirate storybook, fully co-op",,,,,,,
Founders of Gloomhaven,yes,,,,,1-4,12+,90-150 mins,"City Building, Strategy",competitive,6.6,https://boardgamegeek.com/boardgame/214032,"Gloomhaven's city-building spinoff, closer to Lords of Waterdeep",,,,,,,
Four Gardens,yes,,,,,2-4,10+,45 mins,"Strategy, Family",competitive,6.9,https://boardgamegeek.com/boardgame/296043,Tokaido's puzzly pagoda cousin,,,,,,,
Fugitive,yes,,,,,2,10+,10-20 mins,"Strategy, Deduction",competitive,7.1,https://boardgamegeek.com/boardgame/197443,"a two-player chase, Sherlock deduction at speed",,,,,,,
Fuji,yes,,,,,2-4,10+,30-60 mins,Cooperative,co-op,6.6,https://boardgamegeek.com/boardgame/258308,"co-op dice communication like The Mind, harder",,,,,,,
Gaia Project - A Terra Mystica Game,yes,,,,,1-4,14+,60-150 mins,"Strategy, Sci-Fi",competitive,8.3,https://boardgamegeek.com/boardgame/220308,"Terra Mystica in space, the heavy euro summit",,,,,,,
Galaxy Trucker,yes,,,,,2-4,10+,60 mins,"Strategy, Real-Time",competitive,7.3,https://boardgamegeek.com/boardgame/31481,Ubongo-style speed building strapped to a space disaster,,,,,,,
Game of Life: Twists and Turns,yes,,,,,2-4,8+,60 mins,"Family, Strategy",competitive,5.8,https://boardgamegeek.com/boardgame/28609,The Game of Life with a debit card,,,,,,,
Game of Thrones: Westeros Intrigue,yes,,,,,2-6,14+,20 mins,"Family, Card Game",competitive,5.3,https://boardgamegeek.com/boardgame/155693,Uno-weight card shedding with Lannister spite,,,,,,,
Ghost Blitz,no,,yes,,~$30,2-8,8+,20 mins,"Family, Dexterity",competitive,6.6,https://boardgamegeek.com/boardgame/83195,Jungle Speed reflexes with a logic twist,,,,,,,
Gloomhaven Jaws of the Lion,yes,,,,,1-4,14+,30-120 mins,"Strategy, Cooperative",co-op,8.4,https://boardgamegeek.com/boardgame/291457,"the campaign dungeon-crawl benchmark, starter size",,,,,,,
Great Western Trail,yes,,,,,2-4,12+,75-150 mins,Strategy,competitive,8.2,https://boardgamegeek.com/boardgame/193738,cattle-drive strategy. Concordia meets Clank!,,,,,,,
Greed,yes,,,,,2-5,10+,45 mins,"Strategy, Card Game",competitive,6.6,https://boardgamegeek.com/boardgame/151247,a card tableau race from Dominion's designer,,,,,,,
Hadara,yes,,,,,2-5,10+,60 mins,"Strategy, Civilization",competitive,7.4,https://boardgamegeek.com/boardgame/269144,7 Wonders' streamlined civilisation cousin,,,,,,,
Hanabi,yes,,,,,2-5,8+,25 mins,"Cooperative, Card Game",co-op,7,https://boardgamegeek.com/boardgame/98778,"The Mind's older logical sibling, co-op with hidden hands",,,,,,,
Harmonies,yes,,,,,1-4,10+,30 mins,"Strategy, Family",competitive,8,https://boardgamegeek.com/boardgame/414317,Cascadia with landscapes you build upward,,,,,,,
Hawker Wars,yes,,,,,2-5,10+,30-45 mins,"Strategy, Economic",competitive,6,https://boardgamegeek.com/boardgame/365749,street-food stall economics at Machi Koro weight,,,,,,,
Headache,yes,,,,,2-4,5+,20 mins,"Family, Classic",competitive,4.4,https://boardgamegeek.com/boardgame/9921,"Frustration by another name, Pop-o-Matic Ludo",,,,,,,
Heat: Pedal to the Metal,yes,,,,,1-6,10+,60 mins,"Family, Racing",competitive,8,https://boardgamegeek.com/boardgame/366013,"Formula 1 as a hand-management race, Flamme Rouge's big brother",,,,,,,
How to Be a Complete Bastard,yes,,,,,2-6,18+,45 mins,"Party, Humor",competitive,,https://boardgamegeek.com/boardgame/11155,"an '80s comedy relic, Cards Against Humanity's rude uncle",,,,,,,
Hues and Cues,yes,,yes,,~$50,3-10,8+,30 mins,"Party, Family",competitive,6.4,https://boardgamegeek.com/boardgame/302520,Wavelength with colours,,,,,,,
Imperial Settlers,yes,,,,,1-4,10+,45-90 mins,"Strategy, Card Game",competitive,7.3,https://boardgamegeek.com/boardgame/154203,Catan energy in a card tableau engine,,,,,,,
Istanbul,yes,,,,,2-5,10+,40-60 mins,"Strategy, Economic",competitive,7.5,https://boardgamegeek.com/boardgame/148949,"a bazaar logistics race, Splendor with legs",,,,,,,
Jaipur,yes,,,,,2,12+,30 mins,"Strategy, Card Game",competitive,7.5,https://boardgamegeek.com/boardgame/54043,"the two-player trading classic, Splendor for two",,,,,,,
Joan of Arc,yes,,,,,2-4,14+,60-120 mins,"Historical, Strategy",competitive,6.3,https://boardgamegeek.com/boardgame/64,"miniatures-heavy historical battles, War of the Ring scale",,,,,,,
Jungle Speed,yes,,,,,2-10,7+,15 mins,"Party, Dexterity",competitive,6.5,https://boardgamegeek.com/boardgame/8098,Ghost Blitz's totem-grabbing rival,,,,,,,
Just One,yes,,yes,,~$45,3-7,8+,20 mins,"Party, Word Game",competitive,7.6,https://boardgamegeek.com/boardgame/254640,Codenames' co-op cousin,,,,,,,
Kabuto Sumo,yes,,,,,2-4,6+,20 mins,"Party, Dexterity",competitive,6.7,https://boardgamegeek.com/boardgame/320390,"a coin-pusher duel, sumo with beetles",,,,,,,
Kairo,yes,,,,,2-4,10+,60 mins,"Economic, Family",competitive,6.5,https://boardgamegeek.com/boardgame/107635,a market-building family euro in the Istanbul spirit,,,,,,,
Kami-Sama,yes,,,,,2-4,10+,45-90 mins,"Strategy, Area Control",competitive,6.6,https://boardgamegeek.com/boardgame/232318,duelling spirits area control in the El Grande family,,,,,,,
Kero,yes,,,,,2,9+,30-45 mins,Resource Management,competitive,7,https://boardgamegeek.com/boardgame/222219,"a two-player push-your-luck race, Quacks for two",,,,,,,
Kingdom Rush - Rift in Time,yes,,,,,1-4,12+,60-90 mins,"Cooperative, Strategy",co-op,7.3,https://boardgamegeek.com/boardgame/272533,tower defence as a co-op polyomino puzzle,,,,,,,
Kingdomino,yes,,,,,2-4,8+,15-20 mins,"Family, Strategy",competitive,7.3,https://boardgamegeek.com/boardgame/204583,Carcassonne simplified into a 5x5 kingdom,,,,,,,
